taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
1857251,"Erechthias flavistriata ",1857251,"Erechthias flavistriata ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Lepidoptera,797,Tineidae,9412,Erechthias,1857231,Erechthias flavistriata,1857251,NE
2651850,Adiantum macrophyllum Sw.,2651850,Adiantum macrophyllum Sw.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Polypodiopsida,7228684,Polypodiales,392,Pteridaceae,2367,Adiantum,2650796,Adiantum macrophyllum,2651850,NE
1778695,"Leucania Ochsenheimer, 1816",1778695,"Leucania Ochsenheimer, 1816",1,GENUS,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Lepidoptera,797,Noctuidae,7015,Leucania,1778695,,,
7828157,Petroselinum crispum  Fuss,7828157,Petroselinum crispum  Fuss,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Apiales,1351,Apiaceae,6720,Petroselinum,3034906,Petroselinum crispum,7828157,NE
4401692,"Lepolepis picta Thornton, 1981",4401692,"Lepolepis picta Thornton, 1981",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Psocodea,7612838,Lepidopsocidae,4378,Lepolepis,4401688,Lepolepis picta,4401692,NE
10597572,"Gymnolaelaps missouriensis ",10597572,"Gymnolaelaps missouriensis ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Arachnida,367,Mesostigmata,1109,Laelapidae,2832,Gymnolaelaps,2188288,Gymnolaelaps missouriensis,10597572,NE
8200663,"Cymbalaria muralis G.Gaertn., B.Mey. & Scherb.",8200663,"Cymbalaria muralis G.Gaertn., B.Mey. & Scherb.",1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Cymbalaria,6008593,Cymbalaria muralis,8200663,NE
1048600,"Zabrotes subfasciatus ",1048600,"Zabrotes subfasciatus ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Coleoptera,1470,Chrysomelidae,7780,Zabrotes,1048596,Zabrotes subfasciatus,1048600,NE
2702804,Echinochloa crus-pavonis  Schult.,2702804,Echinochloa crus-pavonis  Schult.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Echinochloa,2702794,Echinochloa crus-pavonis,2702804,LC
4553860,"Isometrus maculatus ",4553860,"Isometrus maculatus ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Arachnida,367,Scorpiones,872,Buthidae,5848,Isometrus,4405765,Isometrus maculatus,4553860,NE
